questionnaire,questionnaireLabel,question,questionText,answer,responseCode,responseLabel,rawResponseValue,frequency,questionnaire_short,question_short,answer_short,answer_display,question_total,percentage_within_question
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020110,10,sehr [10],10,61,ME1,M002_01,10020110,sehr [10],266,22.93
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020108,8,[8],8,44,ME1,M002_01,10020108,[8],266,16.54
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020108,8,Skalenwert 8,8,44,ME1,M002_01,10020108,Skalenwert 8,266,16.54
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020109,9,[9],9,29,ME1,M002_01,10020109,[9],266,10.9
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020109,9,Skalenwert 9,9,29,ME1,M002_01,10020109,Skalenwert 9,266,10.9
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020107,7,[7],7,14,ME1,M002_01,10020107,[7],266,5.26
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020107,7,Skalenwert 7,7,14,ME1,M002_01,10020107,Skalenwert 7,266,5.26
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020105,5,[5],5,5,ME1,M002_01,10020105,[5],266,1.88
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020105,5,Skalenwert 5,5,5,ME1,M002_01,10020105,Skalenwert 5,266,1.88
http://digistrucmed.org/questionnaire#ME1,ModuleEvaluation,http://digistrucmed.org/questionnaire#M002_01,wie Hilfreich: Wie hilfreich fanden Sie die Inhalte des Moduls?,http://digistrucmed.org/questionnaire#10020106,6,[6],6,4,ME1,M002_01,10020106,[6],266,1.5
